Rank,County,State,Land Area (sq mi),Population
1,San Bernardino,CA,20056.92,"2,078,586"
2,Inyo,CA,10180.87,"18,439"
3,Kern,CA,8131.91,"857,730"
4,Riverside,CA,7206.47,"2,266,899"
5,Siskiyou,CA,6277.88,"44,261"
6,Fresno,CA,5957.99,"948,844"
7,Tulare,CA,4824.21,"451,108"
8,Lassen,CA,4541.18,"33,356"
9,San Diego,CA,4206.63,"3,183,143"
10,Imperial,CA,4176.6,"177,026"
11,Los Angeles,CA,4057.88,"9,974,203"
12,Modoc,CA,3917.77,"9,335"
13,Shasta,CA,3775.4,"178,520"
14,Humboldt,CA,3567.98,"134,876"
15,Mendocino,CA,3506.34,"87,612"
16,San Luis Obispo,CA,3298.56,"274,184"
17,Monterey,CA,3280.59,"424,927"
18,Trinity,CA,3179.25,"13,515"
19,Mono,CA,3048.98,"14,193"
20,Tehama,CA,2949.71,"63,284"
21,Santa Barbara,CA,2735.08,"431,555"
22,Plumas,CA,2553.04,"19,286"
23,Tuolumne,CA,2220.88,"54,347"
24,Madera,CA,2137.07,"152,452"
25,Merced,CA,1934.97,"261,609"
26,Ventura,CA,1843.13,"835,790"
27,El Dorado,CA,1707.88,"181,465"
28,Butte,CA,1636.46,"221,578"
29,Sonoma,CA,1575.85,"491,790"
30,Stanislaus,CA,1494.83,"522,794"
31,Mariposa,CA,1448.82,"17,946"
32,Placer,CA,1407.01,"361,518"
33,San Joaquin,CA,1391.32,"701,050"
34,Kings,CA,1389.42,"151,390"
35,San Benito,CA,1388.71,"56,888"
36,Glenn,CA,1313.95,"28,019"
37,Santa Clara,CA,1290.1,"1,841,569"
38,Lake,CA,1256.46,"64,209"
39,Colusa,CA,1150.73,"21,424"
40,Calaveras,CA,1020.01,"44,921"
41,Yolo,CA,1014.69,"204,162"
42,Del Norte,CA,1006.37,"28,066"
43,Sacramento,CA,964.64,"1,450,277"
44,Nevada,CA,957.77,"98,606"
45,Sierra,CA,953.21,"3,019"
46,Solano,CA,821.76,"421,624"
47,Orange,CA,790.57,"3,086,331"
48,Napa,CA,748.36,"139,253"
49,Alameda,CA,739.02,"1,559,308"
50,Alpine,CA,738.33,"1,202"
51,Contra Costa,CA,715.94,"1,081,232"
52,Yuba,CA,631.84,"73,059"
53,Sutter,CA,602.41,"95,067"
54,Amador,CA,594.58,"37,159"
55,Marin,CA,520.31,"256,802"
56,San Mateo,CA,448.41,"739,837"
57,Santa Cruz,CA,445.17,"267,203"
58,San Francisco,CA,46.87,"829,072"